rep,selCoeff,pnps,pnps_alt,neutmuts,delmuts,m1muts,m2muts,m3muts
1,-0.001,1.4,0.166667,5,7,7,0,0
1,-0.01,0.375,-0.454545,8,3,0,3,0
1,-0.1,0.375,-0.454545,8,3,0,0,3
1,-0.001,0.727273,-0.157895,11,8,8,0,0
1,-0.01,0.5,-0.333333,10,5,0,5,0
1,-0.1,0.5,-0.333333,10,5,0,0,5
1,-0.001,0.529412,-0.307692,17,9,9,0,0
1,-0.01,1.25,0.111111,4,5,0,5,0
1,-0.1,0.25,-0.6,8,2,0,0,2
1,-0.001,9.0,0.8,1,9,9,0,0
1,-0.01,0.375,-0.454545,8,3,0,3,0
1,-0.1,0.111111,-0.8,9,1,0,0,1
1,-0.001,0.444444,-0.384615,9,4,4,0,0
1,-0.01,0.555556,-0.285714,9,5,0,5,0
1,-0.1,0.2,-0.666667,10,2,0,0,2
1,-0.001,1.66667,0.25,6,10,10,0,0
1,-0.01,1.33333,0.142857,3,4,0,4,0
1,-0.1,0.142857,-0.75,7,1,0,0,1
1,-0.001,1.4,0.166667,5,7,7,0,0
1,-0.01,1.0,0.0,5,5,0,5,0
1,-0.1,0/s,-1.0,11,0,0,0,0
1,-0.001,1.0,0.0,5,5,5,0,0
1,-0.01,1.0,0.0,8,8,0,8,0
1,-0.1,0.0833333,-0.846154,12,1,0,0,1
1,-0.001,1.5,0.2,6,9,9,0,0
1,-0.01,0.666667,-0.2,6,4,0,4,0
1,-0.1,0.444444,-0.384615,9,4,0,0,4
1,-0.001,1.28571,0.125,7,9,9,0,0
1,-0.01,0.111111,-0.8,9,1,0,1,0
1,-0.1,1.0,0.0,4,4,0,0,4
1,-0.001,1.0,0.0,7,7,7,0,0
1,-0.01,1.0,0.0,3,3,0,3,0
1,-0.1,0.5,-0.333333,8,4,0,0,4
1,-0.001,1.0,0.0,6,6,6,0,0
1,-0.01,0.571429,-0.272727,7,4,0,4,0
1,-0.1,0.285714,-0.555556,7,2,0,0,2
1,-0.001,1.0,0.0,10,10,10,0,0
1,-0.01,0.222222,-0.636364,9,2,0,2,0
1,-0.1,0.285714,-0.555556,7,2,0,0,2
1,-0.001,1.6,0.230769,5,8,8,0,0
1,-0.01,0.2,-0.666667,10,2,0,2,0
1,-0.1,0.230769,-0.625,13,3,0,0,3
1,-0.001,3.0,0.5,2,6,6,0,0
1,-0.01,0.555556,-0.285714,9,5,0,5,0
1,-0.1,0.4,-0.428571,10,4,0,0,4
1,-0.001,1.0,0.0,3,3,3,0,0
1,-0.01,0.428571,-0.4,14,6,0,6,0
1,-0.1,0.5,-0.333333,4,2,0,0,2
1,-0.001,0.25,-0.6,12,3,3,0,0
1,-0.01,0.375,-0.454545,8,3,0,3,0
1,-0.1,0.166667,-0.714286,12,2,0,0,2
1,-0.001,0.846154,-0.0833333,13,11,11,0,0
1,-0.01,2.0,0.333333,4,8,0,8,0
1,-0.1,0.2,-0.666667,5,1,0,0,1
1,-0.001,1.3,0.130435,10,13,13,0,0
1,-0.01,1.66667,0.25,6,10,0,10,0
1,-0.1,0.25,-0.6,8,2,0,0,2
1,-0.001,0.666667,-0.2,9,6,6,0,0
1,-0.01,0.416667,-0.411765,12,5,0,5,0
1,-0.1,0.1,-0.818182,10,1,0,0,1
1,-0.001,0.363636,-0.466667,11,4,4,0,0
1,-0.01,0.8,-0.111111,5,4,0,4,0
1,-0.1,0.75,-0.142857,8,6,0,0,6
1,-0.001,1.8,0.285714,5,9,9,0,0
1,-0.01,2.33333,0.4,3,7,0,7,0
1,-0.1,0.3,-0.538462,10,3,0,0,3
1,-0.001,2.5,0.428571,4,10,10,0,0
1,-0.01,0.75,-0.142857,4,3,0,3,0
1,-0.1,0.6,-0.25,5,3,0,0,3
1,-0.001,1.0,0.0,4,4,4,0,0
1,-0.01,0.625,-0.230769,8,5,0,5,0
