neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
1260,1583,175,449,959,1.25635,0.113612
1269,1652,195,478,979,1.30181,0.131119
1264,1643,196,481,966,1.29984,0.130375
1282,1659,213,466,980,1.29407,0.128188
1221,1635,197,465,973,1.33907,0.144958
1258,1649,194,460,995,1.31081,0.134503
1296,1648,189,474,985,1.2716,0.119565
1216,1628,184,471,973,1.33882,0.144866
1270,1637,182,468,987,1.28898,0.126247
1264,1620,173,468,979,1.28165,0.12344
1244,1650,184,485,981,1.32637,0.14029
1260,1611,187,481,943,1.27857,0.122257
1240,1608,205,435,968,1.29677,0.129213
1261,1620,193,460,967,1.28469,0.12461
1263,1664,206,481,977,1.3175,0.137
1259,1624,193,453,978,1.28991,0.126604
1254,1612,203,453,956,1.28549,0.124913
1243,1650,194,477,979,1.32743,0.140684
1253,1588,193,451,944,1.26736,0.117916
1249,1616,185,454,977,1.29384,0.128098
1236,1645,205,477,963,1.33091,0.141965
1262,1641,202,457,982,1.30032,0.130555
1271,1635,199,466,970,1.28639,0.125258
1251,1607,171,469,967,1.28457,0.124563
1264,1598,187,456,955,1.26424,0.116702
1265,1650,194,467,989,1.30435,0.132075
1265,1601,173,455,973,1.26561,0.117237
1237,1621,188,463,970,1.31043,0.13436
1276,1604,176,472,956,1.25705,0.113889
1261,1641,194,450,997,1.30135,0.130944
1246,1644,200,472,972,1.31942,0.137716
1273,1613,183,450,980,1.26709,0.11781
1254,1619,192,465,962,1.29107,0.127045
1248,1629,199,456,974,1.30529,0.13243
1246,1638,171,485,982,1.31461,0.135922
1284,1642,200,476,966,1.27882,0.122351
1252,1601,180,446,975,1.27875,0.122327
1244,1640,185,476,979,1.31833,0.137309
1248,1663,210,487,966,1.33253,0.142563
1257,1671,194,489,988,1.32936,0.141393
1268,1632,181,481,970,1.28707,0.125517
1232,1629,179,467,983,1.32224,0.138763
1220,1604,175,471,958,1.31475,0.135977
1281,1629,197,467,965,1.27166,0.119588
1254,1640,195,468,977,1.30781,0.133379
1258,1646,201,473,972,1.30843,0.133609
1281,1653,196,478,979,1.2904,0.126789
1245,1599,182,450,967,1.28434,0.124473
1254,1668,196,487,985,1.33014,0.141684
1267,1642,191,468,983,1.29597,0.12891
1241,1613,177,456,980,1.29976,0.130343
1257,1654,211,467,976,1.31583,0.136379
1243,1597,188,442,967,1.28479,0.124648
1281,1666,188,483,995,1.30055,0.130641
1270,1663,198,476,989,1.30945,0.133992
1244,1638,204,453,981,1.31672,0.136711
1236,1622,185,468,969,1.3123,0.135059
1257,1626,194,448,984,1.29356,0.127992
1243,1651,201,477,973,1.32824,0.140981
1262,1630,188,462,980,1.2916,0.127248
1284,1617,176,460,981,1.25935,0.114788
1227,1620,176,465,979,1.32029,0.13804
1258,1612,183,457,972,1.2814,0.123345
1262,1665,209,471,985,1.31933,0.137684
1256,1620,181,476,963,1.28981,0.126565
1251,1627,197,473,957,1.30056,0.130646
1254,1665,191,488,986,1.32775,0.140802
1261,1646,187,471,988,1.30531,0.132439
1240,1649,203,479,967,1.32984,0.141571
1251,1623,186,470,967,1.29736,0.129436
1243,1656,198,462,996,1.33226,0.142463
1235,1649,182,477,990,1.33522,0.143551
1280,1630,191,460,979,1.27344,0.120275
1260,1606,186,459,961,1.2746,0.120726
1238,1654,195,478,981,1.33603,0.143845
1251,1612,187,480,945,1.28857,0.126092
1280,1615,190,454,971,1.26172,0.115717
1253,1651,174,482,995,1.31764,0.137052
1242,1636,202,457,977,1.31723,0.136901
1235,1657,204,459,994,1.3417,0.14592
1252,1645,201,452,992,1.3139,0.135658
1239,1614,180,470,964,1.30266,0.131441
1270,1677,205,469,1003,1.32047,0.138107
1264,1609,178,446,985,1.27294,0.120084
1251,1623,194,473,956,1.29736,0.129436
1246,1586,171,466,949,1.27287,0.120056
1254,1660,205,474,981,1.32376,0.139327
1263,1640,196,460,984,1.2985,0.129866
1269,1639,201,460,978,1.29157,0.127235
1259,1638,198,474,966,1.30103,0.130825
1246,1624,194,468,962,1.30337,0.131707
1240,1622,178,477,967,1.30806,0.133473
1266,1631,186,468,977,1.28831,0.125992
1288,1616,190,460,966,1.25466,0.112948
1310,1666,188,498,980,1.27176,0.119624
1268,1597,159,461,977,1.25946,0.114834
1250,1626,197,467,962,1.3008,0.130737
1264,1596,190,450,956,1.26266,0.116084
1235,1632,201,468,963,1.32146,0.138472
1250,1660,190,482,988,1.328,0.140893
