neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
63,88,17,30,41,1.39683,0.165563
69,74,18,22,34,1.07246,0.034965
66,88,16,31,41,1.33333,0.142857
66,82,15,33,34,1.24242,0.108108
63,76,15,29,32,1.20635,0.0935252
65,74,13,25,36,1.13846,0.0647482
64,87,19,26,42,1.35938,0.152318
60,89,17,28,44,1.48333,0.194631
63,80,18,29,33,1.26984,0.118881
68,84,16,29,39,1.23529,0.105263
64,87,15,33,39,1.35938,0.152318
62,83,16,28,39,1.33871,0.144828
62,76,16,24,36,1.22581,0.101449
62,81,18,28,35,1.30645,0.132867
72,77,14,26,37,1.06944,0.033557
60,80,15,27,38,1.33333,0.142857
64,76,14,26,36,1.1875,0.0857143
60,87,17,32,38,1.45,0.183673
66,78,15,23,40,1.18182,0.0833333
73,81,17,24,40,1.10959,0.0519481
64,88,19,31,38,1.375,0.157895
63,73,13,28,32,1.15873,0.0735294
58,80,17,27,36,1.37931,0.15942
64,77,11,29,37,1.20312,0.0921986
69,83,16,25,42,1.2029,0.0921053
63,77,16,22,39,1.22222,0.1
65,81,18,28,35,1.24615,0.109589
59,82,17,26,39,1.38983,0.163121
61,80,14,22,44,1.31148,0.134752
61,79,19,22,38,1.29508,0.128571
65,84,18,25,41,1.29231,0.127517
58,85,12,33,40,1.46552,0.188811
64,79,14,28,37,1.23438,0.104895
69,78,19,24,35,1.13043,0.0612245
63,81,15,28,38,1.28571,0.125
60,82,19,27,36,1.36667,0.15493
68,85,18,31,36,1.25,0.111111
63,82,15,32,35,1.30159,0.131034
69,79,15,23,41,1.14493,0.0675676
56,79,16,25,38,1.41071,0.17037
63,86,16,28,42,1.36508,0.154362
62,76,14,25,37,1.22581,0.101449
59,84,18,29,37,1.42373,0.174825
64,84,18,27,39,1.3125,0.135135
62,82,13,27,42,1.32258,0.138889
66,85,15,29,41,1.28788,0.125828
70,89,19,35,35,1.27143,0.119497
58,72,17,23,32,1.24138,0.107692
70,81,17,26,38,1.15714,0.0728477
66,78,16,24,38,1.18182,0.0833333
62,85,20,29,36,1.37097,0.156463
63,81,12,29,40,1.28571,0.125
67,79,17,27,35,1.1791,0.0821918
57,81,16,27,38,1.42105,0.173913
64,90,13,32,45,1.40625,0.168831
61,86,11,35,40,1.40984,0.170068
66,90,14,34,42,1.36364,0.153846
64,78,13,27,38,1.21875,0.0985915
64,80,15,25,40,1.25,0.111111
67,79,13,26,40,1.1791,0.0821918
63,85,14,31,40,1.34921,0.148649
59,74,11,30,33,1.25424,0.112782
69,72,13,25,34,1.04348,0.0212766
61,74,17,23,34,1.21311,0.0962963
66,81,14,29,38,1.22727,0.102041
63,84,12,35,37,1.33333,0.142857
63,87,21,25,41,1.38095,0.16
61,86,15,29,42,1.40984,0.170068
62,85,17,34,34,1.37097,0.156463
66,86,18,28,40,1.30303,0.131579
69,80,19,25,36,1.15942,0.0738255
61,83,15,28,40,1.36066,0.152778
65,88,16,32,40,1.35385,0.150327
64,72,9,26,37,1.125,0.0588235
72,83,14,33,36,1.15278,0.0709677
62,86,18,30,38,1.3871,0.162162
64,82,16,29,37,1.28125,0.123288
68,82,17,27,38,1.20588,0.0933333
62,81,15,26,40,1.30645,0.132867
61,84,19,31,34,1.37705,0.158621
67,101,20,36,45,1.50746,0.202381
58,83,15,32,36,1.43103,0.177305
58,79,12,33,34,1.36207,0.153285
58,79,17,22,40,1.36207,0.153285
68,85,18,25,42,1.25,0.111111
62,77,14,26,37,1.24194,0.107914
59,73,15,24,34,1.23729,0.106061
64,89,15,37,37,1.39062,0.163399
58,88,15,34,39,1.51724,0.205479
64,75,12,24,39,1.17188,0.0791367
61,78,16,23,39,1.27869,0.122302
62,78,17,29,32,1.25806,0.114286
64,77,15,24,38,1.20312,0.0921986
68,77,13,26,38,1.13235,0.062069
70,82,17,25,40,1.17143,0.0789474
60,70,15,20,35,1.16667,0.0769231
71,85,18,31,36,1.19718,0.0897436
66,79,13,29,37,1.19697,0.0896552
66,85,14,25,46,1.28788,0.125828
64,80,17,29,34,1.25,0.111111
