rep,selCoeff,pnps,pnps_alt,neutmuts,delmuts,m1muts,m2muts,m3muts
1,-0.001,1.44444,0.181818,18,26,26,0,0
1,-0.01,0.894737,-0.0555556,19,17,0,17,0
1,-0.1,0.75,-0.142857,12,9,0,0,9
1,-0.001,2.16667,0.368421,12,26,26,0,0
1,-0.01,1.15385,0.0714286,13,15,0,15,0
1,-0.1,0.684211,-0.1875,19,13,0,0,13
1,-0.001,1.22222,0.1,18,22,22,0,0
1,-0.01,1.0,0.0,11,11,0,11,0
1,-0.1,0.428571,-0.4,14,6,0,0,6
1,-0.001,1.47059,0.190476,17,25,25,0,0
1,-0.01,0.6875,-0.185185,16,11,0,11,0
1,-0.1,0.3125,-0.52381,16,5,0,0,5
1,-0.001,1.66667,0.25,15,25,25,0,0
1,-0.01,1.22222,0.1,9,11,0,11,0
1,-0.1,0.304348,-0.533333,23,7,0,0,7
1,-0.001,2.63636,0.45,11,29,29,0,0
1,-0.01,1.13333,0.0625,15,17,0,17,0
1,-0.1,0.277778,-0.565217,18,5,0,0,5
1,-0.001,0.823529,-0.0967742,17,14,14,0,0
1,-0.01,0.761905,-0.135135,21,16,0,16,0
1,-0.1,0.466667,-0.363636,15,7,0,0,7
1,-0.001,2.33333,0.4,9,21,21,0,0
1,-0.01,1.16667,0.0769231,12,14,0,14,0
1,-0.1,0.173913,-0.703704,23,4,0,0,4
1,-0.001,1.6087,0.233333,23,37,37,0,0
1,-0.01,0.8125,-0.103448,16,13,0,13,0
1,-0.1,0.583333,-0.263158,12,7,0,0,7
1,-0.001,3.83333,0.586207,6,23,23,0,0
1,-0.01,0.4,-0.428571,15,6,0,6,0
1,-0.1,0.363636,-0.466667,11,4,0,0,4
1,-0.001,3.42857,0.548387,7,24,24,0,0
1,-0.01,1.66667,0.25,15,25,0,25,0
1,-0.1,0.363636,-0.466667,11,4,0,0,4
1,-0.001,1.04545,0.0222222,22,23,23,0,0
1,-0.01,1.1875,0.0857143,16,19,0,19,0
1,-0.1,0.769231,-0.130435,13,10,0,0,10
1,-0.001,2.75,0.466667,8,22,22,0,0
1,-0.01,1.09524,0.0454545,21,23,0,23,0
1,-0.1,0.529412,-0.307692,17,9,0,0,9
1,-0.001,2.09091,0.352941,11,23,23,0,0
1,-0.01,1.14286,0.0666667,14,16,0,16,0
1,-0.1,0.428571,-0.4,14,6,0,0,6
1,-0.001,2.25,0.384615,12,27,27,0,0
1,-0.01,0.473684,-0.357143,19,9,0,9,0
1,-0.1,0.4,-0.428571,10,4,0,0,4
