rep,selCoeff,pnps,pnps_alt,neutmuts,delmuts,m1muts,m2muts,m3muts
1,-0.001,0.5,-0.333333,34,17,17,0,0
1,-0.01,0.388889,-0.44,36,14,0,14,0
1,-0.1,0.433333,-0.395349,30,13,0,0,13
1,-0.001,0.444444,-0.384615,27,12,12,0,0
1,-0.01,0.391304,-0.4375,23,9,0,9,0
1,-0.1,0.233333,-0.621622,30,7,0,0,7
1,-0.001,0.617647,-0.236364,34,21,21,0,0
1,-0.01,0.458333,-0.371429,24,11,0,11,0
1,-0.1,0.290323,-0.55,31,9,0,0,9
1,-0.001,0.548387,-0.291667,31,17,17,0,0
1,-0.01,0.257143,-0.590909,35,9,0,9,0
1,-0.1,0.2,-0.666667,30,6,0,0,6
1,-0.001,0.538462,-0.3,26,14,14,0,0
1,-0.01,0.482759,-0.348837,29,14,0,14,0
1,-0.1,0.111111,-0.8,36,4,0,0,4
1,-0.001,1.0,0.0,16,16,16,0,0
1,-0.01,0.36,-0.470588,25,9,0,9,0
1,-0.1,0.32,-0.515152,25,8,0,0,8
1,-0.001,0.424242,-0.404255,33,14,14,0,0
1,-0.01,0.333333,-0.5,24,8,0,8,0
1,-0.1,0.0869565,-0.84,23,2,0,0,2
1,-0.001,0.607143,-0.244444,28,17,17,0,0
1,-0.01,0.423077,-0.405405,26,11,0,11,0
1,-0.1,0.32,-0.515152,25,8,0,0,8
1,-0.001,0.393939,-0.434783,33,13,13,0,0
1,-0.01,0.157895,-0.727273,19,3,0,3,0
1,-0.1,0.4,-0.428571,25,10,0,0,10
1,-0.001,0.791667,-0.116279,24,19,19,0,0
1,-0.01,0.571429,-0.272727,14,8,0,8,0
1,-0.1,0.15625,-0.72973,32,5,0,0,5
1,-0.001,0.384615,-0.444444,26,10,10,0,0
1,-0.01,0.466667,-0.363636,30,14,0,14,0
1,-0.1,0.375,-0.454545,16,6,0,0,6
1,-0.001,0.517241,-0.318182,29,15,15,0,0
1,-0.01,0.387097,-0.44186,31,12,0,12,0
1,-0.1,0.185185,-0.6875,27,5,0,0,5
1,-0.001,0.666667,-0.2,24,16,16,0,0
1,-0.01,0.461538,-0.368421,26,12,0,12,0
1,-0.1,0.269231,-0.575758,26,7,0,0,7
1,-0.001,0.6,-0.25,30,18,18,0,0
1,-0.01,0.615385,-0.238095,26,16,0,16,0
1,-0.1,0.375,-0.454545,32,12,0,0,12
1,-0.001,0.46875,-0.361702,32,15,15,0,0
1,-0.01,0.4,-0.428571,30,12,0,12,0
1,-0.1,0.212121,-0.65,33,7,0,0,7
1,-0.001,0.5,-0.333333,26,13,13,0,0
1,-0.01,0.566667,-0.276596,30,17,0,17,0
1,-0.1,0.233333,-0.621622,30,7,0,0,7
1,-0.001,0.473684,-0.357143,38,18,18,0,0
1,-0.01,0.48,-0.351351,25,12,0,12,0
1,-0.1,0.176471,-0.7,34,6,0,0,6
1,-0.001,0.714286,-0.166667,21,15,15,0,0
1,-0.01,0.590909,-0.257143,22,13,0,13,0
1,-0.1,0.233333,-0.621622,30,7,0,0,7
1,-0.001,0.527778,-0.309091,36,19,19,0,0
1,-0.01,0.666667,-0.2,15,10,0,10,0
1,-0.1,0.194444,-0.674419,36,7,0,0,7
1,-0.001,0.75,-0.142857,32,24,24,0,0
1,-0.01,0.791667,-0.116279,24,19,0,19,0
1,-0.1,0.111111,-0.8,27,3,0,0,3
1,-0.001,0.461538,-0.368421,26,12,12,0,0
1,-0.01,0.464286,-0.365854,28,13,0,13,0
1,-0.1,0.26087,-0.586207,23,6,0,0,6
1,-0.001,0.458333,-0.371429,24,11,11,0,0
1,-0.01,0.24,-0.612903,25,6,0,6,0
1,-0.1,0.565217,-0.277778,23,13,0,0,13
1,-0.001,0.586207,-0.26087,29,17,17,0,0
1,-0.01,0.357143,-0.473684,28,10,0,10,0
1,-0.1,0.179487,-0.695652,39,7,0,0,7
1,-0.001,0.62069,-0.234043,29,18,18,0,0
1,-0.01,0.65,-0.212121,20,13,0,13,0
1,-0.1,0.26087,-0.586207,23,6,0,0,6
1,-0.001,0.5,-0.333333,34,17,17,0,0
1,-0.01,0.192308,-0.677419,26,5,0,5,0
1,-0.1,0.184211,-0.688889,38,7,0,0,7
1,-0.001,1.38462,0.16129,13,18,18,0,0
1,-0.01,0.461538,-0.368421,26,12,0,12,0
1,-0.1,0.222222,-0.636364,27,6,0,0,6
1,-0.001,0.56,-0.282051,25,14,14,0,0
1,-0.01,0.551724,-0.288889,29,16,0,16,0
1,-0.1,0.147059,-0.74359,34,5,0,0,5
1,-0.001,0.653846,-0.209302,26,17,17,0,0
1,-0.01,0.434783,-0.393939,23,10,0,10,0
1,-0.1,0.318182,-0.517241,22,7,0,0,7
1,-0.001,0.242424,-0.609756,33,8,8,0,0
1,-0.01,0.52,-0.315789,25,13,0,13,0
