neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
7655,7260,868,1261,5131,0.9484,-0.0264834
7580,7232,870,1289,5073,0.95409,-0.0234945
7657,7267,867,1279,5121,0.949066,-0.0261324
7601,7188,843,1287,5058,0.945665,-0.0279262
7645,7254,869,1232,5153,0.948855,-0.0262434
7647,7364,891,1359,5114,0.962992,-0.0188528
7613,7236,828,1278,5130,0.950479,-0.0253889
7625,7308,860,1312,5136,0.958426,-0.0212282
7528,7371,885,1281,5205,0.979145,-0.0105376
7639,7286,833,1336,5117,0.95379,-0.0236516
7686,7320,840,1298,5182,0.952381,-0.0243902
7715,7332,881,1289,5162,0.950356,-0.0254536
7600,7180,813,1262,5105,0.944737,-0.0284168
7595,7317,887,1267,5163,0.963397,-0.0186427
7544,7186,832,1278,5076,0.952545,-0.0243041
7559,7173,827,1244,5102,0.948935,-0.0262015
7640,7233,833,1291,5109,0.946728,-0.027365
7575,7240,851,1284,5105,0.955776,-0.0226122
7550,7277,832,1310,5135,0.963841,-0.0184124
7646,7264,871,1237,5156,0.950039,-0.0256204
7572,7250,887,1253,5110,0.957475,-0.0217245
7594,7240,857,1309,5074,0.953384,-0.0238641
7473,7174,842,1255,5077,0.959989,-0.0204137
7546,7252,839,1293,5120,0.961039,-0.0198675
7640,7311,865,1314,5132,0.956937,-0.0220052
7577,7269,862,1279,5128,0.959351,-0.0207463
7541,7213,821,1281,5111,0.956504,-0.0222313
7583,7304,861,1319,5124,0.963207,-0.0187412
7602,7289,858,1301,5130,0.958827,-0.0210194
7615,7297,865,1273,5159,0.95824,-0.0213251
7596,7305,859,1305,5141,0.96169,-0.0195289
7615,7250,857,1303,5090,0.952068,-0.0245543
7578,7167,846,1266,5055,0.945764,-0.0278739
7571,7226,860,1260,5106,0.954431,-0.0233155
7586,7231,853,1255,5123,0.953203,-0.023959
7583,7247,847,1327,5073,0.95569,-0.0226568
7610,7230,844,1251,5135,0.950066,-0.0256065
7561,7233,901,1266,5066,0.956619,-0.0221712
7554,7167,814,1234,5119,0.948769,-0.026289
7586,7276,848,1308,5120,0.959135,-0.0208586
7495,7318,860,1314,5144,0.976384,-0.011949
7546,7247,878,1303,5066,0.960376,-0.0202123
7564,7285,850,1282,5153,0.963115,-0.0187891
7661,7184,846,1262,5076,0.937737,-0.032132
7617,7307,853,1316,5138,0.959302,-0.0207719
7615,7273,842,1309,5122,0.955089,-0.0229715
7599,7238,825,1307,5106,0.952494,-0.0243311
7499,7303,841,1319,5143,0.973863,-0.0132415
7651,7329,858,1292,5179,0.957914,-0.0214953
7560,7317,889,1324,5104,0.967857,-0.0163339
7587,7221,845,1250,5126,0.95176,-0.0247164
7621,7247,835,1301,5111,0.950925,-0.0251547
7536,7235,841,1289,5105,0.960058,-0.0203778
7663,7285,876,1300,5109,0.950672,-0.0252877
7595,7215,868,1280,5067,0.949967,-0.0256583
7573,7132,836,1256,5040,0.941767,-0.0299898
7504,7184,804,1302,5078,0.957356,-0.0217865
7661,7226,824,1273,5129,0.943219,-0.0292201
7681,7266,865,1279,5122,0.945971,-0.0277648
7573,7202,873,1260,5069,0.95101,-0.02511
7659,7274,865,1290,5119,0.949732,-0.0257818
7588,7188,827,1296,5065,0.947285,-0.0270709
7562,7242,835,1274,5133,0.957683,-0.0216158
7608,7279,874,1254,5151,0.956756,-0.0220998
7661,7329,884,1248,5197,0.956664,-0.0221481
7669,7343,872,1288,5183,0.957491,-0.021716
7544,7304,855,1304,5145,0.968187,-0.0161638
7553,7266,868,1295,5103,0.962002,-0.019367
7634,7205,855,1292,5058,0.943804,-0.0289103
7694,7280,858,1280,5142,0.946192,-0.0276479
7598,7264,886,1245,5133,0.956041,-0.0224734
7598,7245,805,1287,5153,0.95354,-0.0237823
7584,7208,833,1291,5084,0.950422,-0.0254191
7613,7258,844,1288,5126,0.953369,-0.023872
7605,7268,869,1279,5120,0.955687,-0.0226585
7626,7272,844,1301,5127,0.95358,-0.0237616
7564,7332,915,1290,5127,0.969328,-0.0155747
7564,7265,866,1271,5128,0.960471,-0.0201632
7620,7321,853,1305,5163,0.960761,-0.020012
7517,7253,832,1317,5104,0.96488,-0.0178741
7558,7262,840,1276,5146,0.960836,-0.019973
7604,7344,844,1313,5187,0.965807,-0.0173936
7630,7255,836,1286,5133,0.950852,-0.0251931
7667,7249,871,1264,5114,0.945481,-0.0280236
7543,7266,863,1265,5138,0.963277,-0.0187048
7565,7292,848,1291,5153,0.963913,-0.0183752
7576,7265,847,1285,5133,0.958949,-0.0209555
7565,7347,861,1371,5115,0.971183,-0.0146191
7494,7266,826,1258,5182,0.969576,-0.0154472
7552,7451,899,1358,5194,0.986626,-0.00673199
7597,7221,862,1230,5129,0.950507,-0.0253745
7621,7198,842,1255,5101,0.944495,-0.0285444
7621,7287,882,1296,5109,0.956174,-0.0224041
7664,7257,832,1279,5146,0.946895,-0.027277
7564,7215,822,1333,5060,0.95386,-0.0236146
7586,7151,838,1258,5055,0.942658,-0.0295175
7633,7315,855,1330,5130,0.958339,-0.0212737
7512,7173,840,1249,5084,0.954872,-0.0230848
7619,7283,820,1330,5133,0.9559,-0.0225473
7582,7267,875,1260,5132,0.958454,-0.0212135
