neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
542,554,83,117,354,1.02214,0.0109489
552,557,83,112,362,1.00906,0.00450857
557,544,79,104,361,0.976661,-0.0118074
558,555,75,106,374,0.994624,-0.00269542
544,550,82,108,360,1.01103,0.00548446
534,533,81,96,356,0.998127,-0.000937207
558,588,107,118,363,1.05376,0.026178
549,586,99,123,364,1.0674,0.0325991
550,578,76,116,386,1.05091,0.0248227
551,557,88,120,349,1.01089,0.00541516
542,564,79,117,368,1.04059,0.0198915
552,550,76,99,375,0.996377,-0.00181488
551,564,82,122,360,1.02359,0.0116592
560,552,73,103,376,0.985714,-0.00719424
558,549,81,106,362,0.983871,-0.00813008
539,564,82,112,370,1.04638,0.0226655
550,549,79,111,359,0.998182,-0.000909918
567,575,84,118,373,1.01411,0.00700525
562,584,94,116,374,1.03915,0.0191972
568,566,81,111,374,0.996479,-0.00176367
580,567,69,117,381,0.977586,-0.0113339
561,557,84,107,366,0.99287,-0.00357782
536,563,78,123,362,1.05037,0.0245678
574,578,86,112,380,1.00697,0.00347222
549,555,91,111,353,1.01093,0.00543478
565,551,81,102,368,0.975221,-0.0125448
572,559,69,109,381,0.977273,-0.0114943
552,587,97,114,376,1.06341,0.0307287
550,539,69,111,359,0.98,-0.010101
567,564,83,112,369,0.994709,-0.00265252
563,561,85,107,369,0.996448,-0.00177936
542,565,84,107,374,1.04244,0.0207769
568,562,83,103,376,0.989437,-0.00530973
549,561,83,117,361,1.02186,0.0108108
562,573,77,124,372,1.01957,0.00969163
552,552,88,108,356,1.0,0.0
562,553,88,105,360,0.983986,-0.00807175
576,568,78,125,365,0.986111,-0.00699301
553,543,83,105,355,0.981917,-0.00912409
588,584,105,110,369,0.993197,-0.00341297
563,549,74,118,357,0.975133,-0.0125899
569,552,77,105,370,0.970123,-0.015165
549,555,82,104,369,1.01093,0.00543478
557,558,92,99,367,1.0018,0.000896861
564,559,80,130,349,0.991135,-0.00445236
540,564,80,114,370,1.04444,0.0217391
552,562,80,102,380,1.01812,0.00897666
558,541,79,106,356,0.969534,-0.0154686
556,569,71,106,392,1.02338,0.0115556
565,583,80,124,379,1.03186,0.0156794
548,539,72,95,372,0.983577,-0.00827967
554,541,64,102,375,0.976534,-0.0118721
554,548,70,113,365,0.98917,-0.00544465
570,583,88,114,381,1.02281,0.0112749
547,549,77,108,364,1.00366,0.00182482
561,550,72,105,373,0.980392,-0.00990099
544,556,84,104,368,1.02206,0.0109091
547,577,92,111,374,1.05484,0.0266904
554,563,74,113,376,1.01625,0.0080573
579,563,75,128,360,0.972366,-0.0140105
564,573,82,111,380,1.01596,0.00791557
548,565,85,109,371,1.03102,0.015274
563,548,79,110,359,0.973357,-0.0135014
553,582,92,103,387,1.05244,0.0255507
566,546,74,107,365,0.964664,-0.0179856
560,558,72,114,372,0.996429,-0.00178891
556,539,82,111,346,0.969424,-0.0155251
548,563,90,102,371,1.02737,0.0135014
561,569,79,121,369,1.01426,0.00707965
559,560,74,108,378,1.00179,0.000893655
553,576,87,112,377,1.04159,0.020372
569,539,71,111,357,0.947276,-0.0270758
574,582,80,118,384,1.01394,0.00692042
561,541,79,109,353,0.964349,-0.0181488
553,558,73,114,371,1.00904,0.00450045
538,557,81,116,360,1.03532,0.0173516
578,577,86,119,372,0.99827,-0.000865801
579,569,93,116,360,0.982729,-0.0087108
557,552,75,109,368,0.991023,-0.00450857
590,544,75,103,366,0.922034,-0.0405644
561,572,81,115,376,1.01961,0.00970874
563,576,87,116,373,1.02309,0.0114135
547,545,78,118,349,0.996344,-0.0018315
556,562,73,115,374,1.01079,0.00536673
548,531,72,103,356,0.968978,-0.0157553
566,545,74,106,365,0.962898,-0.0189019
552,572,86,113,373,1.03623,0.0177936
552,578,82,133,363,1.0471,0.0230088
548,542,74,99,369,0.989051,-0.00550459
557,573,81,113,379,1.02873,0.0141593
561,585,79,117,389,1.04278,0.0209424
560,543,77,104,362,0.969643,-0.0154125
552,546,72,100,374,0.98913,-0.00546448
539,546,73,100,373,1.01299,0.00645161
555,562,75,111,376,1.01261,0.00626679
564,564,85,120,359,1.0,0.0
544,564,83,107,374,1.03676,0.0180505
558,573,89,111,373,1.02688,0.0132626
551,552,88,117,347,1.00181,0.000906618
541,552,79,98,375,1.02033,0.010064
